day,market-price,hash-rate,fees-usd-per-transaction
801,4822.17,8547734.68040521,2.45868936155766
802,5691.69,10351762.4275025,5.10872524255683
803,5697.16,10649226.8650745,7.09609972008243
804,5900.59,9935312.21490186,6.21440279646001
805,5769.89,6138789.85774571,10.7719906052011
806,6416.07,7872095.2293445,13.2745413993023
807,7365.99,10183169.0581429,7.26236461040384
808,7468.44,11049821.7439423,6.18967313224505
809,5890.08,9495610.53578818,6.00414775635294
810,7868.77,11326906.8534045,6.11178644292724
811,8242.81,11733861.5906525,6.3389140253949
812,8212.78,10445729.4715075,21.3744128827459
813,9919,11584046.1446846,23.9657209218713
814,10912.87,11784925.5575982,26.6072853773383
815,13843.93,11941671.1962486,54.7903932891521
816,15068.95,13523349.5003875,41.9812911136269
817,16408.15,13365181.6699736,32.2826758040604
818,18911.79,13035760.950516,26.4755549209237
819,13776.61,12942648.372298,32.2477577813382
820,15677.99,14525562.2020035,29.4200009372911
821,12612.54,15177350.2495293,28.6136658235842
822,15039.24,16127548.7258182,24.4112585250672
823,16192.91,15935554.0981299,14.1482888143159
824,13285.55,17087521.8642597,10.4228125517013
825,13554.14,17608758.1817911,7.15889268874182
826,11506.51,19712949.4110618,6.7009733039161
827,10831.49,19491455.5974543,4.60327416123577
828,11431.37,20445148.5647756,3.47059075693759
829,10204,20703947.9136968,3.1651397606376
830,8202.06,23938939.775212,2.9527262594611
831,8245.08,19291612.224166,3.96065986744794
832,8895.72,23435736.3315795,2.43108807317718
833,10178.56,21292223.8622277,2.43176922569776
834,11245.98,25265138.8267172,1.69392131467231
835,9699.76,25564134.5524772,2.30178782706006
836,10332.14,24667147.3751973,1.44345357191633
837,11516.83,24372959.7309369,1.33363941312735
838,9324.5,23882228.9980992,1.24333567868471
839,9130,25845151.9294498,1.17334400146279
840,8297.89,24372959.7309369,0.948825984992173
841,8909.95,26162835.2122593,0.941679395271181
842,8533.76,23236728.6424672,1.06043961357096
843,7950.61,26162835.2122593,1.25342060758145
844,6827.54,27227579.6162083,1.05935016553693
845,6786.66,24085935.8143381,1.1803434498366
846,6784.41,28623865.7503728,2.37300172919032
847,7895.25,26146926.5194725,1.89111709458818
848,7907.19,30536556.519092,1.66996959193974
849,8930.6,30536556.519092,1.75859774876615
850,8870.14,26910340.4324498,1.18704994467666
851,9398.4,30990335.3016848,1.43583559245097
852,9753.35,27591395.3008549,2.67395450376291
853,9369.16,27791332.9479625,1.07412928004854
854,8396.83,33988897.1882526,1.06256874972862
855,8471.06,36872803.6163467,0.824726548507777
856,8242.07,29663037.5461113,0.717734368571062
857,7511.91,30616246.3183454,0.766521945894127
858,7344.56,33399541.438195,0.781414237170705
859,7489.66,35540537.6842331,0.737116785549491
860,7495.47,42980660.1034435,2.93612843297315
